"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",25-34,male,"Instagram Post",10,13,1.3,BRL,0.09981752,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Novo anúncio de Engajamento",18,19,1.05555556,BRL,0.09,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Novo anúncio de Engajamento",6,6,1,BRL,0.09,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Instagram Post",2,2,1,BRL,0.08983577,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Instagram Post",7,8,1.14285714,BRL,0.08983577,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Video comece pelos acessórios;...e mais 1 anúncio",115,115,1,BRL,0.08965995,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Video localização;...e mais 2 anúncios",82,83,1.01219512,BRL,0.08767396,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Instagram Post",5,6,1.2,BRL,0.08,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video comece pelos acessórios",6,7,1.16666667,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",10,10,1,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Novo anúncio de Engajamento;...e mais 2 anúncios",2,2,1,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"v1 - localização;...e mais 1 anúncio",9,10,1.11111111,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",47,47,1,BRL,0.05848445,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"carrossel imagens;...e mais 1 anúncio",6,6,1,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Novo anúncio de Engajamento",3,3,1,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
